id,buy,male,buyamt,freq,lastbuy,firstbuy,child,youth,cook,diy,art
1,1,1,113,8,1,8,0,1,0,0,0
2,1,1,418,6,11,66,0,2,3,2,3
3,1,1,336,18,6,32,2,0,1,1,2
4,1,1,180,16,5,42,2,0,0,1,1
5,1,0,320,2,3,18,0,0,0,1,2
6,1,1,268,4,1,4,0,0,0,0,0
7,1,1,198,2,12,62,2,3,2,1,2
8,1,0,280,6,2,12,0,2,0,0,0
9,1,1,393,12,11,50,3,0,3,0,2
10,1,1,138,10,7,38,2,3,0,0,1
11,1,0,142,14,2,20,0,1,0,0,1
12,1,0,251,10,2,18,0,0,2,0,0
13,1,0,130,14,2,18,1,0,0,0,0
14,1,1,308,6,1,6,0,0,0,0,1
15,1,1,251,10,2,18,1,0,0,0,1
16,1,1,249,16,1,16,1,0,0,0,0
17,1,1,311,14,9,50,0,0,2,1,0
18,1,0,180,8,2,12,0,1,0,1,0
19,1,0,227,30,2,34,1,0,0,0,1
20,1,1,44,2,1,2,0,0,1,0,0
21,1,1,207,4,7,22,2,1,1,0,1
22,1,1,239,14,2,22,1,0,1,0,0
23,1,1,154,10,7,46,0,2,0,1,1
24,1,0,218,4,2,6,2,0,0,0,0
25,1,0,273,10,2,12,2,0,0,0,0
26,1,1,250,10,1,10,1,0,0,0,0
27,1,1,235,10,9,40,3,0,1,1,1
28,1,0,100,22,2,26,0,0,0,1,1
29,1,1,140,2,1,2,1,0,0,0,0
30,1,1,331,10,7,48,1,0,1,0,2
31,1,0,309,4,2,8,0,0,1,0,0
32,1,1,280,10,1,10,1,0,0,0,0
33,1,0,90,4,1,4,0,0,0,0,0
34,1,0,331,4,7,28,3,0,2,0,2
35,1,1,312,8,2,10,0,0,0,1,0
36,1,0,164,10,9,46,0,2,3,0,0
37,1,1,172,14,5,38,0,0,1,2,1
38,1,0,285,16,4,28,0,0,3,0,0
39,1,0,386,6,11,36,4,0,1,0,2
40,1,1,428,2,9,22,2,1,1,0,2
41,1,1,396,12,12,68,6,0,3,0,2
42,1,1,377,8,11,36,3,2,3,0,1
43,1,0,103,8,1,8,1,0,0,0,0
44,1,1,204,14,2,22,0,0,1,0,0
45,1,1,161,10,1,10,0,0,0,0,1
46,1,0,165,2,11,48,1,0,3,2,0
47,1,1,66,10,1,10,0,0,1,0,0
48,1,1,318,14,9,66,5,1,0,0,1
49,1,1,159,10,9,46,2,0,1,0,5
50,1,0,80,2,2,6,1,0,1,0,0
51,1,1,163,10,2,18,0,0,1,0,0
52,1,0,213,10,3,22,0,1,0,0,2
53,1,1,400,10,10,34,1,0,1,1,3
54,1,0,183,8,12,66,4,0,2,1,4
55,1,0,151,8,1,8,0,0,0,1,0
56,1,0,240,16,2,18,0,1,1,0,0
57,1,0,97,6,1,6,0,0,0,0,1
58,1,0,267,6,3,12,2,0,0,0,0
59,1,0,136,6,5,28,1,1,2,0,1
60,1,0,129,4,3,18,1,0,0,1,1
61,1,1,89,4,2,6,0,0,0,0,1
62,1,0,283,8,12,62,5,0,4,0,1
63,1,1,266,10,9,50,0,0,5,0,2
64,1,1,240,2,2,8,0,1,0,0,1
65,1,1,144,12,1,12,0,1,0,0,0
66,1,0,74,2,2,6,0,0,0,1,1
67,1,1,163,6,2,8,1,0,1,0,0
68,1,1,70,2,1,2,0,0,0,0,0
69,1,1,251,4,2,8,0,0,0,0,1
70,1,1,288,30,1,30,0,0,0,1,0
71,1,0,304,2,3,10,1,0,0,0,1
72,1,1,249,14,4,30,0,0,0,0,2
73,1,1,310,2,1,2,0,0,0,0,0
74,1,1,176,8,11,64,2,0,2,0,3
75,1,1,276,10,2,14,0,0,1,1,0
76,1,1,272,16,1,16,0,0,0,0,1
77,1,1,385,2,9,34,4,1,0,1,2
78,1,1,261,14,7,40,1,1,0,0,4
79,1,0,194,16,4,32,0,0,1,1,2
80,1,0,195,4,4,16,1,0,1,0,1
81,1,1,250,6,1,6,0,0,0,1,0
82,1,1,474,12,12,46,2,1,1,1,4
83,1,1,219,10,7,34,1,1,1,0,1
84,1,0,122,8,7,26,1,0,2,1,1
85,1,1,170,4,1,4,0,0,1,0,0
86,1,0,306,8,1,8,0,0,1,0,0
87,1,0,276,14,2,16,0,0,0,0,1
88,1,0,183,20,1,20,0,0,0,0,1
89,1,0,18,14,1,14,0,1,0,0,0
90,1,1,130,12,1,12,0,0,0,1,0
91,1,0,169,4,11,50,1,0,2,4,3
92,1,1,181,6,1,6,0,0,0,0,1
93,1,1,304,6,1,6,0,0,0,0,1
94,1,1,177,14,1,14,0,0,0,1,0
95,1,1,361,6,6,36,1,0,2,0,2
96,1,1,245,30,1,30,0,0,0,0,1
97,1,1,237,6,4,16,0,0,1,0,3
98,1,1,273,14,5,30,0,0,0,1,2
99,1,1,168,6,2,12,1,0,0,0,1
100,1,1,262,30,1,30,1,0,0,0,0
101,1,1,295,10,1,10,0,0,1,0,0
102,1,0,223,10,1,10,0,0,0,0,1
103,1,1,276,4,1,4,0,1,0,0,0
104,1,0,115,4,2,12,1,0,1,0,0
105,1,1,297,14,2,22,1,0,0,0,0
106,1,0,296,8,6,32,0,1,2,0,2
107,1,0,198,16,5,36,1,0,1,1,2
108,1,0,234,8,5,24,2,0,0,1,2
109,1,1,184,10,10,66,1,2,1,1,3
110,1,0,280,10,8,34,1,1,4,0,0
111,1,0,414,2,8,46,3,1,0,0,3
112,1,0,72,8,2,16,0,1,0,0,1
113,1,0,287,16,1,16,0,0,0,0,0
114,1,0,126,14,2,20,0,0,1,1,0
115,1,1,253,10,1,10,0,0,0,0,1
116,1,0,212,16,5,38,1,0,1,2,0
117,1,0,77,2,2,4,0,0,1,0,1
118,1,0,181,14,1,14,0,0,0,0,0
119,1,0,148,6,4,20,0,1,1,0,2
120,1,1,247,16,2,18,1,0,0,0,0
121,1,0,129,4,1,4,0,0,0,0,0
122,1,1,133,2,8,20,0,2,2,0,0
123,1,0,193,10,2,18,0,0,1,0,1
124,1,1,224,10,10,62,3,0,2,0,3
125,1,1,210,2,6,36,2,0,1,0,1
126,1,0,405,6,12,70,5,0,0,2,3
127,1,1,257,6,2,8,0,0,2,0,0
128,1,1,159,4,7,18,1,0,1,0,1
129,1,0,225,8,2,12,1,0,0,0,0
130,1,0,287,12,2,16,0,0,0,0,0
131,1,0,228,4,2,6,1,0,1,0,0
132,1,1,229,16,1,16,0,0,0,0,0
133,1,1,315,2,2,10,0,0,0,0,2
134,1,1,291,2,1,2,0,0,0,0,1
135,1,1,176,20,3,36,1,0,1,0,1
136,1,1,322,12,12,74,3,2,1,1,4
137,1,1,303,28,2,32,1,0,0,0,1
138,1,1,241,10,2,16,1,0,0,0,0
139,1,1,303,2,2,6,0,1,0,0,1
140,1,1,305,2,2,10,0,0,1,1,0
141,1,1,165,12,8,32,1,2,1,2,1
142,1,1,268,8,4,30,1,1,0,0,2
143,1,0,230,4,1,4,0,0,0,0,1
144,1,1,22,2,1,2,0,0,0,0,1
145,1,1,75,4,4,26,0,1,0,1,0
146,1,0,356,4,6,22,2,1,0,1,0
147,1,0,270,4,4,22,2,2,0,0,0
148,1,0,264,4,12,30,4,2,2,0,1
149,1,1,314,4,2,8,1,0,0,1,0
150,1,0,155,30,6,44,1,0,3,0,0
151,1,0,48,10,1,10,0,1,0,0,0
152,1,1,84,2,2,4,0,0,0,0,1
153,1,0,228,8,1,8,0,0,0,0,1
154,1,1,224,10,4,32,1,1,1,0,1
155,1,1,315,14,4,24,0,1,0,0,1
156,1,0,192,10,1,10,0,0,1,0,0
157,1,1,246,12,11,38,3,0,4,0,0
158,1,0,219,10,6,28,2,0,1,0,2
159,1,0,265,4,2,8,0,0,0,2,0
160,1,0,316,12,3,20,0,0,0,0,1
161,1,0,248,16,8,38,3,0,2,1,1
162,1,1,340,8,3,16,0,0,0,0,2
163,1,1,281,12,2,16,0,0,1,0,1
164,1,0,200,16,2,18,2,0,0,0,0
165,1,1,243,16,2,24,1,0,1,0,0
166,1,0,187,12,2,18,0,0,1,0,0
167,1,0,147,8,2,12,0,0,0,0,1
168,1,1,213,2,2,8,0,0,0,0,1
169,1,0,171,2,2,10,1,0,1,0,0
170,1,1,127,2,4,16,0,1,0,1,1
171,1,0,179,8,5,24,1,1,2,0,0
172,1,1,237,12,1,12,0,0,1,0,0
173,1,0,274,2,1,2,0,0,1,0,0
174,1,0,410,12,11,46,2,0,4,2,2
175,1,1,118,8,2,12,0,0,0,1,0
176,1,1,255,6,11,68,1,2,2,2,3
177,1,0,216,2,2,4,1,0,0,1,0
178,1,1,183,2,1,2,1,0,0,0,0
179,1,1,338,4,12,50,1,4,1,1,2
180,1,0,252,24,1,24,0,0,0,0,0
181,1,1,47,2,3,10,0,0,0,0,2
182,1,0,338,16,5,28,2,1,1,1,0
183,1,1,43,2,2,4,0,1,1,0,0
184,1,1,289,4,6,28,0,0,2,1,1
185,1,0,285,8,1,8,1,0,0,0,0
186,1,0,259,14,7,34,1,0,3,0,1
187,1,1,272,12,1,12,0,0,0,0,0
188,1,0,203,12,1,12,0,0,0,1,0
189,1,1,274,8,1,8,0,0,0,0,1
190,1,0,257,20,6,38,1,0,0,0,1
191,1,1,125,16,2,18,0,0,0,0,0
192,1,1,262,10,1,10,0,0,0,1,0
193,1,0,97,16,6,42,2,1,2,0,1
194,1,1,80,14,1,14,0,0,0,1,0
195,1,0,243,12,9,52,2,1,1,1,3
196,1,1,120,4,2,6,0,0,2,0,0
197,1,1,280,6,11,66,5,1,1,0,1
198,1,1,216,2,1,2,0,0,0,0,0
199,1,1,216,10,1,10,0,1,0,0,0
200,1,0,53,2,1,2,0,0,0,0,1
201,1,0,352,16,7,56,2,0,1,1,0
202,1,0,39,26,1,26,0,1,0,0,0
203,1,0,139,12,2,20,1,0,0,0,0
204,1,0,256,4,2,8,1,0,1,0,0
205,1,1,248,14,1,14,0,0,1,0,0
206,1,0,172,8,2,14,0,0,1,0,0
207,1,1,254,10,2,12,0,0,1,0,1
208,1,1,232,8,8,52,1,2,2,0,0
209,1,0,145,6,3,12,2,0,0,1,0
210,1,1,192,12,1,12,0,0,0,0,1
211,1,1,149,2,5,26,0,1,1,0,3
212,1,1,232,2,5,24,1,2,0,0,0
213,1,1,276,8,2,12,1,0,1,0,0
214,1,0,222,14,2,20,0,0,0,0,1
215,1,0,90,2,3,16,1,0,1,1,0
216,1,0,206,14,1,14,0,0,0,0,0
217,1,0,202,10,6,40,0,0,0,0,3
218,1,1,261,6,11,38,2,0,3,3,2
219,1,0,262,6,12,32,1,2,1,3,3
220,1,1,266,6,2,14,0,0,0,1,1
221,1,0,223,2,3,12,2,0,0,0,1
222,1,0,321,14,2,18,0,0,0,1,1
223,1,1,216,14,5,36,1,0,1,0,3
224,1,1,222,14,9,50,2,1,1,1,4
225,1,0,213,8,1,8,0,0,0,0,0
226,1,0,122,2,3,12,0,0,0,0,1
227,1,1,303,4,2,8,1,0,0,0,0
228,1,0,165,4,2,6,0,0,0,0,2
229,1,0,77,4,2,10,0,1,0,0,0
230,1,0,230,12,2,20,0,0,1,0,0
231,1,0,248,6,2,10,2,0,0,0,0
232,1,0,343,4,4,18,2,1,0,0,1
233,1,1,175,8,3,16,0,0,2,0,1
234,1,1,277,14,7,54,2,0,0,1,3
235,1,0,174,10,1,10,0,0,0,0,1
236,1,1,206,6,1,6,0,0,0,0,1
237,1,1,211,14,2,22,0,0,1,0,1
238,1,1,247,16,5,46,0,1,0,0,2
239,1,1,108,6,2,10,1,0,1,0,0
240,1,0,187,2,1,2,0,0,0,0,0
241,1,0,145,4,1,4,0,0,0,0,0
242,1,1,229,2,2,4,0,0,0,0,1
243,1,1,330,16,5,42,0,0,1,0,2
244,1,0,285,14,1,14,1,0,0,0,0
245,1,0,258,28,7,60,0,1,1,1,1
246,1,0,274,14,2,18,0,0,0,0,1
247,1,1,38,34,1,34,0,0,0,0,0
248,1,1,267,2,4,20,0,1,1,0,1
249,1,1,241,10,1,10,0,0,1,0,0
250,1,0,102,10,2,16,0,0,1,0,1
251,1,0,119,4,3,18,0,0,1,0,0
252,1,0,230,8,2,12,0,0,1,0,0
253,1,1,73,16,2,22,0,1,0,0,1
254,1,0,220,28,7,70,1,0,0,1,2
255,1,0,190,2,2,8,0,0,0,1,1
256,1,1,34,2,1,2,0,0,0,0,1
257,1,1,235,4,2,8,0,0,2,0,0
258,1,0,145,2,1,2,0,0,1,0,0
259,1,0,33,14,1,14,0,0,0,0,1
260,1,1,49,10,1,10,0,1,0,0,0
261,1,1,37,12,2,14,0,1,0,1,0
262,1,1,253,4,1,4,0,0,1,0,0
263,1,1,88,10,2,18,1,0,0,0,0
264,1,1,290,2,2,4,0,0,0,0,1
265,1,0,253,24,1,24,0,0,1,0,0
266,1,1,391,6,10,64,0,0,5,1,2
267,1,1,150,6,5,28,1,0,2,1,0
268,1,1,292,12,7,52,1,1,1,0,3
269,1,0,274,10,5,30,0,1,1,0,2
270,1,0,196,6,2,10,0,0,0,0,1
271,1,1,307,10,2,16,0,0,0,0,2
272,1,1,65,6,1,6,1,0,0,0,0
273,1,1,315,12,10,48,2,1,1,2,2
274,1,0,191,16,8,50,2,1,1,1,1
275,1,0,36,16,1,16,0,0,1,0,0
276,1,1,386,4,11,32,1,2,2,1,1
277,1,0,384,2,7,44,0,1,1,3,2
278,1,0,400,6,11,52,2,0,4,2,3
279,1,0,140,4,2,6,1,0,0,0,0
280,1,1,64,14,2,20,0,0,0,0,2
281,1,1,204,12,2,14,0,1,0,0,1
282,1,0,188,4,5,28,1,0,2,1,1
283,1,0,85,10,1,10,0,0,0,0,0
284,1,1,41,2,1,2,0,0,0,0,1
285,1,1,245,18,4,34,0,0,0,0,1
286,1,0,28,16,1,16,0,0,0,0,0
287,1,1,290,14,2,22,0,1,0,0,1
288,1,1,302,10,5,26,0,0,0,1,2
289,1,1,216,10,1,10,0,0,0,0,0
290,1,1,97,12,1,12,0,0,0,0,1
291,1,0,278,2,1,2,0,0,1,0,0
292,1,0,88,12,2,14,0,0,1,0,0
293,1,1,233,16,4,36,1,0,0,1,0
294,1,1,355,10,10,60,2,0,2,1,3
295,1,1,179,12,2,18,0,1,0,0,1
296,1,0,314,2,1,2,1,0,0,0,0
297,1,1,444,28,10,82,1,1,1,3,2
298,1,0,179,6,1,6,0,1,0,0,0
299,1,0,84,6,1,6,0,0,0,0,0
300,1,1,263,4,6,30,2,0,2,1,1
301,1,1,297,8,3,14,0,1,0,0,1
302,1,0,299,6,5,32,1,2,1,1,0
303,1,0,85,6,4,14,1,0,1,0,2
304,1,1,75,16,1,16,0,0,0,0,0
305,1,0,350,12,4,26,0,0,0,1,2
306,1,1,55,10,1,10,0,0,0,0,1
307,1,1,274,22,1,22,0,0,0,0,0
308,1,1,215,6,11,66,2,1,4,1,2
309,1,0,130,22,2,24,1,1,0,0,0
310,1,0,137,6,2,8,0,1,0,1,0
311,1,0,78,6,2,10,0,0,0,0,0
312,1,1,338,2,5,20,1,0,0,1,2
313,1,0,244,6,5,22,2,1,0,0,1
314,1,1,183,2,1,2,0,0,1,0,0
315,1,0,376,4,10,60,1,2,2,3,1
316,1,1,82,6,3,16,0,1,0,1,0
317,1,1,367,12,12,72,3,0,3,0,1
318,1,0,418,16,8,32,1,1,1,2,3
319,1,0,81,16,1,16,0,0,0,1,0
320,1,0,249,2,2,10,0,0,1,0,1
321,1,0,102,16,3,32,0,0,0,0,1
322,1,1,351,10,9,62,3,1,2,1,2
323,1,0,322,4,2,12,1,0,0,1,0
324,1,0,360,2,10,22,2,1,1,3,1
325,1,1,451,12,11,78,3,0,3,0,3
326,1,1,286,12,2,14,1,0,0,0,1
327,1,1,187,16,3,22,0,0,1,0,1
328,1,0,17,16,1,16,1,0,0,0,0
329,1,0,407,12,12,40,3,0,1,3,2
330,1,1,143,14,1,14,0,0,0,0,0
331,1,1,404,4,11,38,2,1,1,2,2
332,1,0,17,4,1,4,1,0,0,0,0
333,1,0,148,6,9,48,0,1,1,1,2
334,1,0,118,6,2,8,1,0,0,0,0
335,1,1,302,12,2,18,1,0,1,0,0
336,1,1,374,2,10,26,4,3,0,0,3
337,1,0,110,2,2,8,0,0,2,0,0
338,1,0,185,10,10,40,2,1,3,1,2
339,1,1,235,2,2,8,1,0,0,0,0
340,1,1,41,6,1,6,0,0,0,0,1
341,1,0,243,16,1,16,0,0,0,0,1
342,1,0,183,8,1,8,0,0,0,0,1
343,1,1,273,30,9,68,1,3,0,1,1
344,1,1,372,4,12,36,3,0,2,2,3
345,1,1,234,8,8,40,0,2,0,0,3
346,1,1,282,16,6,42,1,1,0,0,2
347,1,0,135,12,1,12,0,0,0,0,0
348,1,1,236,8,1,8,0,0,0,0,0
349,1,0,165,2,1,2,1,0,0,0,0
350,1,1,318,16,2,22,0,0,0,0,1
351,1,1,299,10,2,16,1,0,1,0,0
352,1,0,345,14,6,38,1,1,1,0,2
353,1,1,115,8,7,38,1,2,1,1,2
354,1,0,179,10,1,10,0,0,0,0,1
355,1,1,396,12,9,44,1,2,2,0,1
